CAMPO,DESCRIPCION,TIPO_DATO,LONGITUD,RANGO_VALIDO,METADATOS
S4P28_1,Satélites de comunicación,Int,1,[1-4],Satélites de comunicación
,,,,1,Muy poco
,,,,2,Monto correcto
,,,,3,Demasiado
,,,,4,No sabe
S4P28_2,Reducción de la contaminación,Int,1,[1-4],Reducción de la contaminación
,,,,1,Muy poco
,,,,2,Monto correcto
,,,,3,Demasiado
,,,,4,No sabe
S4P28_3,Mejoras en los servicios de salud,Int,1,[1-4],Mejoras en los servicios de salud
,,,,1,Muy poco
,,,,2,Monto correcto
,,,,3,Demasiado
,,,,4,No sabe
S4P28_4,"Apoyos a la investi-
gación científica",Int,1,[1-4],"Apoyos a la investigación
científica"
,,,,1,Muy poco
,,,,2,Monto correcto
,,,,3,Demasiado
,,,,4,No sabe
S4P28_5,"Apoyos a la investi-
gación científica",Int,1,[1-4],"Apoyos a la investigación
científica"
,,,,1,Muy poco
,,,,2,Monto correcto
,,,,3,Demasiado
,,,,4,No sabe
S4P28_6,"Dotar a la población de acceso universal a las tecnologías de la información (computadoras, líneas telefónicas, servicios vía Internet, etc.)",Int,1,[1-4],"Dotar a la población de acceso universal a las tecnologías de la información (computadoras, líneas telefónicas, servicios vía Internet, etc.)"
,,,,1,Muy poco
,,,,2,Monto correcto
,,,,3,Demasiado
,,,,4,No sabe
S4P28_7,Reducción de la pobreza y atención a los adultos mayores,Int,1,[1-4],Reducción de la pobreza y atención a los adultos mayores
,,,,1,Muy poco
,,,,2,Monto correcto
,,,,3,Demasiado
,,,,4,No sabe
S4P28_8,Apoyos a las empresas para que desarrollen tecnología propia,Int,1,[1-4],Apoyos a las empresas para que desarrollen tecnología propia
,,,,1,Muy poco
,,,,2,Monto correcto
,,,,3,Demasiado
,,,,4,No sabe
S4P28_9,Aumento de capacidades de las personas para mejorar sus habilidades en el trabajo,Int,1,[1-4],Aumento de capacidades de las personas para mejorar sus habilidades en el trabajo
,,,,1,Muy poco
,,,,2,Monto correcto
,,,,3,Demasiado
,,,,4,No sabe
,,,,,"De los siguientes países o grupos de países que voy a mencionarle: EUA, Unión Europea, Japón o México, dígame. . ."
S4P29_1,"¿Dónde están los
mejores científicos?",Int,1,[1-5],"¿Dónde están los mejores
científicos?"
,,,,1,EUA
,,,,2,Unión Europea
,,,,3,Japón
,,,,4,México
,,,,5,No sabe
S4P29_2,¿Cuál país gasta más dinero en investigación científica?,Int,1,[1-5],"¿Cuál país gasta más dinero
en investigación científica?"
,,,,1,EUA
,,,,2,Unión Europea
,,,,3,Japón
,,,,4,México
,,,,5,No sabe
S4P30,¿Ha oído usted hablar de la clonación?,Int,1,[1-2],"¿Ha oído usted hablar de la
clonación?"
,,,,1,Sí
,,,,2,No
S4P30_1,"¿Está de acuerdo en que se realice la reproducción de
algunos animales por este medio?",Int,1,[1-2],¿Está de acuerdo en que se realice la reproducción de algunos animales por este medio?
,,,,1,Sí
,,,,2,No
S4P30_2,"¿Está de acuerdo en que se realice la reproducción de órganos y
tejidos humanos por clonación para realizar trasplantes quirúrgicos?”",Int,1,[1-2],"¿Está de acuerdo en que se realice la reproducción de órganos y
tejidos humanos por clonación para realizar trasplantes quirúrgicos?"
,,,,1,Sí
,,,,2,No
S4P31,"De las siguientes afirmaciones, ¿con cuál se identifica usted?",Int,1,[1-6],"De las siguientes afirmaciones, ¿con cuál se identifica usted?"
,,,,1,Confía más en la ciencia
,,,,2,Confía más en la fe o religión
,,,,3,Confía de igual manera en ambas
,,,,4,Confía en su intuición
,,,,5,No confía en ninguna
,,,,6,No sabe
,,,,,"Voy a leer algunas afirmaciones como las que usted podría encontrar en un periódico o revista. Para cada una de ellas, dígame por favor si está muy de acuerdo, de acuer-
do, en desacuerdo o muy en desacuerdo."
S4P31_1_1,Confiamos demasiado en la fe y muy poco en la ciencia,Int,1,[1-5],"Confiamos demasiado en la fe
y muy poco en la ciencia"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P31_1_2,La aplicación de la ciencia hace que nuestro modo de vida cambie demasiado rápido,Int,1,[1-5],La aplicación de la ciencia hace que nuestro modo de vida cambie demasiado rápido
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P31_1_3,Algunos números son de la suerte,Int,1,[1-5],Algunos números son de la suerte
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P31_1_4,El desarrollo tecnológico origina una manera de vivir artificial y deshumanizada,Int,1,[1-5],El desarrollo tecnológico origina una manera de vivir artificial y deshumanizada
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P31_1_5,"“Algunos de los objetos voladores no identificados que se han reportado,
son en realidad vehículos espaciales de otras civilizaciones”",Int,1,[1-5],"""Algunos de los objetos voladores no identificados que se han reportado,
son en realidad vehículos espaciales de otras civilizaciones"""
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P31_1_6,Algunas personas poseen poderes psíquicos,Int,1,[1-5],Algunas personas poseen poderes psíquicos
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P31_1_7,"Existen medios adecuados para el tratamiento de
enfermedades que la ciencia no reconoce (acupuntura, quiropráctica, homeopatía, limpias)",Int,1,[1-5],"Existen medios adecuados para el tratamiento de enfermedades que la ciencia no reconoce (acupuntura, quiropráctica, homeopatía, limpias)"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P32,"En otro orden de ideas, ¿durante el último año ha leído su horóscopo o consultado su carta astral?",Int,1,[1-2],"En otro orden de ideas, ¿durante el último año ha leído su horóscopo o consultado su carta astral?"
,,,,1,Sí
,,,,2,No
S4P32_1,¿Con qué frecuencia consulta su información astrológica?,Int,1,[1-3],"¿Con qué frecuencia consulta
su información astrológica?"
,,,,1,Diariamente
,,,,2,Frecuentemente
,,,,3,Ocasionalmente
S4P33,De las siguientes afirmaciones ¿cuál considera que es válida?,Int,1,[1-5],"De las siguientes afirmaciones
¿cuál considera que es válida?"
,,,,1,"Todo ser vivo, incluido el ser humano, plantas y animales, ha evolucionado mediante un proceso de selección natural"
,,,,2,Todas las especies de seres vivos fueron creadas por un ser supremo (Dios)
,,,,3,"Ambas afirmaciones son
válidas"
,,,,4,"Ninguna de esas afirmaciones
son válidas"
,,,,5,No sabe
S5P1,¿Sabe qué es el Consejo Nacional de Ciencia y Tecnología (CONACYT)?,Int,1,[1-2],¿Sabe qué es el Consejo Nacional de Ciencia y Tecnología (CONACYT)?
,,,,1,Sí
,,,,2,No
S5P1_1,¿Al menos ha oído hablar de él?,Int,1,[1-2],¿Al menos ha oído hablar de él?
,,,,1,Sí
,,,,2,No
,,,,,¿Por qué medios se ha enterado del CONACYT?
S5P2_1,Televisión,Int,1,[1-2],Televisión
,,,,1,Sí
,,,,2,No
S5P2_2,Radio,Int,1,[1-2],Radio
,,,,1,Sí
,,,,2,No
S5P2_3,Periódico o revista,Int,1,[1-2],Periódico o revista
,,,,1,Sí
,,,,2,No
S5P2_4,Libros,Int,1,[1-2],Libros
,,,,1,Sí
,,,,2,No
S5P2_5,Internet,Int,1,[1-2],Internet
,,,,1,Sí
,,,,2,No
S5P2_6,Otros,Int,1,[1-2],Otros
,,,,1,Sí
,,,,2,No
S5P2_ES,Especifique (Otros),Varchar,50,Texto,Especifique (Otros)
S5P3,¿Sabe a qué actividades se dedica el CONACYT?,Int,1,[1-2],"¿Sabe a qué actividades se
dedica el CONACYT?"
,,,,1,Sí
,,,,2,No
,,,,,Dígame si las siguientes actividades son realizadas por el CONACYT.
S5P4_1,,Int,1,[1-3],Becas de licenciatura
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_2,Apoyo a investigadores,Int,1,[1-3],Apoyo a investigadores
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_3,Asigna presupuesto a centros públicos de investigación,Int,1,[1-3],Asigna presupuesto a centros públicos de investigación
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_4,Publicación de revistas de ciencia y tecnología,Int,1,[1-3],Publicación de revistas de ciencia y tecnología
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_5,Difusión de actividades científicas y tecnológicas en México,Int,1,[1-3],Difusión de actividades científicas y tecnológicas en México
,,,,1,Sí
,,,,2,No
,,,,Fin,No sabe
S5P4_6,Financiamiento a empresas para desarrollos tecnológicos,Int,1,[1-3],Financiamiento a empresas para desarrollos tecnológicos
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_7,Apoyos a proyectos culturales,Int,1,[1-3],Apoyos a proyectos culturales
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_8,Otorgamiento de becas para posgrado,Int,1,[1-3],Otorgamiento de becas para posgrado
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_9,"Investigación cien-
tífica",Int,1,[1-3],Investigación científica
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_10,Financiamiento a proyectos de investigación en universidades,Int,1,[1-3],Financiamiento a proyectos de investigación en universidades
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_11,Construcción de escuelas,Int,1,[1-3],Construcción de escuelas
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_12,Otras,Int,1,[1-3],Otras
,,,,1,Sí
,,,,2,No
,,,,3,No sabe
S5P4_ES,Especifique (Otras),Varchar,50,Texto,Especifique (Otras)
S5P5,"¿Qué opinión tiene
del CONACYT?",Int,1,[1-5],¿Qué opinión tiene del CONACYT?
,,,,1,Muy favorable
,,,,2,Favorable
,,,,3,Indiferente
,,,,4,Desfavorable
,,,,5,Muy desfavorable
,,,,,"¿Conoce usted los siguientes programas de apoyo, productos y servicios del CONACYT?"
S5P6_1,Becas a posgrados nacionales,Int,1,[1-2],Becas a posgrados nacionales
,,,,1,Sí
,,,,2,No
S5P6_2,Becas a posgrados extranjeros,Int,1,[1-2],Becas a posgrados extranjeros
,,,,1,Sí
,,,,2,No
S5P6_3,"Becas a estancias
técnicas",Int,1,[1-2],Becas a estancias técnicas
,,,,1,Sí
,,,,2,No
S5P6_4,Estímulos a la innovación,Int,1,[1-2],Estímulos a la innovación
,,,,1,Sí
,,,,2,No
S5P6_5,Fondos mixtos,Int,1,[1-2],Fondos mixtos
,,,,1,Sí
,,,,2,No
S5P6_6,Fondos sectoriales,Int,1,[1-2],Fondos sectoriales
,,,,1,Sí
,,,,2,No
S5P6_7,Fondos institucionales,Int,1,[1-2],Fondos institucionales
,,,,1,Sí
,,,,2,No
S5P6_8,Sistema Nacional de Investigadores,Int,1,[1-2],Sistema Nacional de Investigadores
,,,,1,Sí
,,,,2,No
S5P6_9,Redes y consorcios,Int,1,[1-2],Redes y consorcios
,,,,1,Sí
,,,,2,No
S5P6_10,Cooperación internacional,Int,1,[1-2],Cooperación internacional
,,,,1,Sí
,,,,2,No
S5P6_11,"Registro Nacional de Instituciones y
Empresas Científicas
y Tecnológicas",Int,1,[1-2],Registro Nacional de Instituciones y Empresas Científicas y Tecnológicas
,,,,1,Sí
,,,,2,No
S5P6_12,Agencia de noticias CONACYT,Int,1,[1-2],Agencia de noticias CONACYT
,,,,1,Sí
,,,,2,No
S5P6_13,Sistema Integrado de Información Científica y Tecnológica,Int,1,[1-2],"Sistema Integrado de Informa-
ción Científica y Tecnológica"
,,,,1,Sí
,,,,2,No
S5P6_14,Informe del Estado General de la Ciencia y la Tecnología en México,Int,1,[1-2],Informe del Estado General de la Ciencia y la Tecnología en México
,,,,1,Sí
,,,,2,No
S5P7,"En materia de política de ciencia y tecnología, ¿cuál
considera usted que es la prioridad del CONACYT?",Int,1,[1-7],"En materia de política de ciencia y tecnología, ¿cuál considera usted que es la prioridad del CONACYT?"
,,,,1,Investigación aplicada
,,,,2,Investigación básica o pura
,,,,3,Ambas (aplicada y básica)
,,,,4,Desarrollo tecnológico
,,,,5,Todas las anteriores
,,,,6,Ninguna
,,,,7,No sabe
S5P8,¿Cómo considera usted la influencia  del CONACYT en la generación y aplicación del conocimiento científico y tecnológico en México?,Int,1,[1-5],¿Cómo considera usted la influencia del CONACYT en la generación y aplicación del conocimiento científico y tecnológico en México?
,,,,1,Muy grande
,,,,2,Grande
,,,,3,Limitada
,,,,4,Nula
,,,,5,No sabe
S5P9,"¿Usted considera que el gasto del Gobierno Federal en ciencia, tecnología
e innovación, en los últimos años…",Int,1,[1-4],"¿Usted considera que el gasto del Gobierno Federal en ciencia, tecnología e innovación, en los últimos años…"
,,,,1,ha aumentado?
,,,,2,"se ha mantenido constante o
igual?"
,,,,3,ha disminuido?
,,,,4,no sabe
,,,,,Todo
,,,,,"¿Cuáles deberían ser las prioridades del CONACYT?, ordenélas por importancia, donde 1 es la más importante y 6 la menos importante."
S5P10_1,"Apoyo a la investiga-
ción científica",Int,1,[1-6],"Apoyo a la investigación
científica"
S5P10_2,Sistema Nacional de Investigadores,Int,1,[1-6],Sistema Nacional de Investigadores
S5P10_3,Becas de posgrado,Int,1,[1-6],Becas de posgrado
S5P10_4,Apoyo al desarrollo tecnológico en las empresas,Int,1,[1-6],Apoyo al desarrollo tecnológico en las empresas
S5P10_5,Programas de retención y repatriación de científicos y tecnólogos,Int,1,[1-6],Programas de retención y repatriación de científicos y tecnólogos
S5P10_6,Difusión y divulgación de los avances científicos y tecnológicos que se realizan en México,Int,1,[1-6],Difusión y divulgación de los avances científicos y tecnológicos que se realizan en México
S5P11_D1,"Primer dependencia federal que financia Ciencia, Tecnología e Innovación",Varchar,50,Texto,"Primer dependencia federal que financia Ciencia, Tecnología e Innovación"
S5P11_D2,"Segunda dependencia federal que financia Ciencia, Tecnología e Innovación",Varchar,50,Texto,"Segunda dependencia federal que financia Ciencia, Tecnología e Innovación"
S5P11_D3,"Tercera dependencia federal que financia Ciencia, Tecnología e Innovación",Varchar,50,Texto,"Tercera dependencia federal que financia Ciencia, Tecnología e Innovación"
,,,,,"¿Quién hace los desarrollos más importantes en Ciencia, Tecnología e Innovación? ordenélas por importancia, donde 1 es la más importante y 6 la menos importante."
S5P12_1,Universidades públicas,Int,1,[1-6],Universidades públicas
S5P12_2,Universidades privadas,Int,1,[1-6],Universidades privadas
S5P12_3,Empresas,Int,1,[1-6],Empresas
S5P12_4,Centros de investigación,Int,1,[1-6],Centros de investigación
,,,,,
S5P12_5,Gobierno,Int,1,[1-6],Gobierno
S5P12_6,"Otros (ONG´s, Asociaciones de la Sociedad Civil, Privado no lucrativo)",Int,1,[1-6],"Otros (ONG´s, Asociaciones de la Sociedad Civil, Privado no lucrativo)"
S5P12_ESP,Especifique,Varchar,50,Texto,Especifique
,,,,,¿Cuáles de las siguientes instituciones conoce?
S5P13_1,"Centro de Investigaciones en Óptica, A.C.",Int,1,[1-2],"Centro de Investigaciones en Óptica, A.C."
,,,,1,Sí
,,,,2,No
S5P13_2,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Int,1,[1-2],"Centro de Investigación en Alimentación y Desarrollo, A.C."
,,,,1,Sí
,,,,2,No
S5P13_3,"Centro de Investigaciones Biológicas del Noroeste, S. C.",Int,1,[1-2],"Centro de Investigaciones Biológicas del Noroeste, S. C."
,,,,1,Sí
,,,,2,No
S5P13_4,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Int,1,[1-2],"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C."
,,,,1,Sí
,,,,2,No
S5P13_5,"Centro de Investigación Científica de Yucatán, A.C.",Int,1,[1-2],"Centro de Investigación Cientí-
fica de Yucatán, A.C."
,,,,1,Sí
,,,,2,No
S5P13_6,"Centro de Investigación en Matemáticas, A.C.",Int,1,[1-2],"Centro de Investigación en Matemáticas, A.C."
,,,,1,Sí
,,,,2,No
S5P13_7,"Centro de Investigación en Materiales Avanzados, S.C.",Int,1,[1-2],"Centro de Investigación en Materiales Avanzados, S.C."
,,,,1,Sí
,,,,2,No
S5P13_8,"Instituto Nacional de Astrofísica, Óptica y Electrónica",Int,1,[1-2],"Instituto Nacional de Astrofísica, Óptica y Electrónica"
,,,,1,Sí
,,,,2,No
S5P13_9,"Instituto de Ecología, A.C.",Int,1,[1-2],"Instituto de Ecología, A.C."
,,,,1,Sí
,,,,2,No
S5P13_10,Instituto Potosino de Investigación Científica,Int,1,[1-2],"Instituto Potosino de Investiga-
ción Científica"
,,,,1,Sí
,,,,2,No
S5P13_11,Centro de Innovación Aplicada en Tecnologías Competitivas,Int,1,[1-2],Centro de Innovación Aplicada en Tecnologías Competitivas
,,,,1,Sí
,,,,2,No
S5P13_12,"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C.",Int,1,[1-2],"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C."
,,,,1,Sí
,,,,2,No
S5P13_13,"CIATEQ, A.C. Centro
de Tecnología Avanzada",Int,1,[1-2],"CIATEQ, A.C. Centro de Tecnología Avanzada"
,,,,1,Sí
,,,,2,No
S5P13_14,Centro de Ingeniería y Desarrollo Industrial,Int,1,[1-2],Centro de Ingeniería y Desarrollo Industrial
,,,,1,Sí
,,,,2,No
S5P13_15,"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C.",Int,1,[1-2],"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C."
,,,,1,Sí
,,,,2,No
S5P13_16,Centro de Investigación en Química Aplicada,Int,1,[1-2],Centro de Investigación en Química Aplicada
,,,,1,Sí
,,,,2,No
S5P13_17,"Corporación Mexicana de Investigación en Materiales, S.A. de C.V.",Int,1,[1-2],"Corporación Mexicana de Investigación en Materiales,
S.A. de C.V."
,,,,1,Sí
,,,,2,No
S5P13_18,Fondo para el Desarrollo de Recursos Humanos,Int,1,[1-2],Fondo para el Desarrollo de Recursos Humanos
,,,,1,Sí
,,,,2,No
S5P13_19,Fondo de Información y Documentación para la Industria,Int,1,[1-2],Fondo de Información y Documentación para la Industria
,,,,1,Sí
,,,,2,No
S5P13_20,"Centro de Investigación y Docencia Económicas, A.C.",Int,1,[1-2],"Centro de Investigación y Docencia Económicas, A.C."
,,,,1,Sí
,,,,2,No
S5P13_21,Centro de Investigaciones y Estudios Superiores en Antropología Social,Int,1,[1-2],Centro de Investigaciones y Estudios Superiores en Antropología Social
,,,,1,Sí
,,,,2,No
S5P13_22,"Centro de Investigación en Geografía
y Geomática “Ing. Jorge L. Tamayo”, A.C.",Int,1,[1-2],"Centro de Investigación en Geografía y Geomática ""Ing. Jorge L. Tamayo"", A.C."
,,,,1,Sí
,,,,2,No
S5P13_23,"El Colegio de Mi-
choacán, A.C.",Int,1,[1-2],"El Colegio de Michoacán, A.C."
,,,,1,Sí
,,,,2,No
S5P13_24,El Colegio de San Luis. A.C.,Int,1,[1-2],El Colegio de San Luis. A.C.
,,,,1,Sí
,,,,2,No
S5P13_25,El Colegio de la Frontera Sur,Int,1,[1-2],El Colegio de la Frontera Sur
,,,,1,Sí
,,,,2,No
S5P13_26,"El Colegio de la Frontera Norte, A.C.",Int,1,[1-2],"El Colegio de la Frontera Norte, A.C."
,,,,1,Sí
,,,,2,No
S5P13_27,Instituto de Investigaciones “Dr. José María Luis Mora”,Int,1,[1-2],"Instituto de Investigaciones
“Dr. José María Luis Mora”"
,,,,1,Sí
,,,,2,No
OBS,Observaciones,Varchar,254,Texto,Observaciones
FAC,Factor de expansión,Int,6,[1-999999],Factor de expansión
